"team","season","name","team.1","position","situation","games_played","xGoalsPercentage","corsiPercentage","fenwickPercentage","iceTime","xOnGoalFor","xGoalsFor","xReboundsFor","xFreezeFor","xPlayStoppedFor","xPlayContinuedInZoneFor","xPlayContinuedOutsideZoneFor","flurryAdjustedxGoalsFor","scoreVenueAdjustedxGoalsFor","flurryScoreVenueAdjustedxGoalsFor","shotsOnGoalFor","missedShotsFor","blockedShotAttemptsFor","shotAttemptsFor","goalsFor","reboundsFor","reboundGoalsFor","freezeFor","playStoppedFor","playContinuedInZoneFor","playContinuedOutsideZoneFor","savedShotsOnGoalFor","savedUnblockedShotAttemptsFor","penaltiesFor","penalityMinutesFor","faceOffsWonFor","hitsFor","takeawaysFor","giveawaysFor","lowDangerShotsFor","mediumDangerShotsFor","highDangerShotsFor","lowDangerxGoalsFor","mediumDangerxGoalsFor","highDangerxGoalsFor","lowDangerGoalsFor","mediumDangerGoalsFor","highDangerGoalsFor","scoreAdjustedShotsAttemptsFor","unblockedShotAttemptsFor","scoreAdjustedUnblockedShotAttemptsFor","dZoneGiveawaysFor","xGoalsFromxReboundsOfShotsFor","xGoalsFromActualReboundsOfShotsFor","reboundxGoalsFor","totalShotCreditFor","scoreAdjustedTotalShotCreditFor","scoreFlurryAdjustedTotalShotCreditFor","xOnGoalAgainst","xGoalsAgainst","xReboundsAgainst","xFreezeAgainst","xPlayStoppedAgainst","xPlayContinuedInZoneAgainst","xPlayContinuedOutsideZoneAgainst","flurryAdjustedxGoalsAgainst","scoreVenueAdjustedxGoalsAgainst","flurryScoreVenueAdjustedxGoalsAgainst","shotsOnGoalAgainst","missedShotsAgainst","blockedShotAttemptsAgainst","shotAttemptsAgainst","goalsAgainst","reboundsAgainst","reboundGoalsAgainst","freezeAgainst","playStoppedAgainst","playContinuedInZoneAgainst","playContinuedOutsideZoneAgainst","savedShotsOnGoalAgainst","savedUnblockedShotAttemptsAgainst","penaltiesAgainst","penalityMinutesAgainst","faceOffsWonAgainst","hitsAgainst","takeawaysAgainst","giveawaysAgainst","lowDangerShotsAgainst","mediumDangerShotsAgainst","highDangerShotsAgainst","lowDangerxGoalsAgainst","mediumDangerxGoalsAgainst","highDangerxGoalsAgainst","lowDangerGoalsAgainst","mediumDangerGoalsAgainst","highDangerGoalsAgainst","scoreAdjustedShotsAttemptsAgainst","unblockedShotAttemptsAgainst","scoreAdjustedUnblockedShotAttemptsAgainst","dZoneGiveawaysAgainst","xGoalsFromxReboundsOfShotsAgainst","xGoalsFromActualReboundsOfShotsAgainst","reboundxGoalsAgainst","totalShotCreditAgainst","scoreAdjustedTotalShotCreditAgainst","scoreFlurryAdjustedTotalShotCreditAgainst"
"NJD",2024,"NJD","NJD","Team Level","other",55,0.63,0.58,0.58,8820,137.34,34.71,10.26,25,4.94,69.54,41.56,31.6,34.71,31.6,119,67,61,247,25,22,1,18,1,69,51,94,161,5,12,94,34,7,22,83,49,54,3.6,6.08,25.03,3,7,15,247,186,186,6,2.99,6.36,6.36,31.34,31.34,29.56,95.86,20.42,6.68,18.19,3.23,52.54,31.92,18.3,20.42,18.3,81,52,49,182,19,10,0,14,2,46,42,62,114,4,8,83,33,6,27,68,34,31,2.89,3.69,13.84,4,4,11,182,133,133,10,1.9,1.97,2.47,19.86,19.86,18.07
"NJD",2024,"NJD","NJD","Team Level","all",55,0.56,0.53,0.52,199918,1784.99,201.02,124.44,426.16,60.95,939.73,667.68,188.78,202.27,189.94,1617,803,1058,3478,169,224,23,315,3,759,950,1448,2251,196,448,1529,1301,244,827,1684,475,261,48.66,59.52,92.84,57,50,62,3507.91,2420,2439.62,399,28.13,49.21,49.75,179.4,180.42,174.17,1624.56,160.37,108.74,400.27,55.48,876.66,635.48,148.95,159.89,148.47,1424,813,895,3132,138,175,15,298,5,673,948,1286,2099,195,443,1536,1216,257,828,1658,394,185,47.2,48.59,64.57,58,48,32,3104.14,2237,2220.37,376,24.21,34.75,34.84,149.73,148.93,142.42
"NJD",2024,"NJD","NJD","Team Level","5on5",55,0.54,0.52,0.51,161788,1350.66,121.12,87.8,342.07,46.16,716.17,526.68,115.78,122.36,116.93,1201,639,851,2691,104,161,16,252,1,554,768,1097,1736,180,414,1175,1199,209,718,1360,339,141,38.08,42.71,40.34,47,34,23,2720.91,1840,1859.62,363,18.29,32.67,33.23,106.18,107.19,105.37,1282.68,103.03,80.4,332.42,43.91,696.9,516.33,99.27,102.56,98.79,1127,646,726,2499,93,125,11,253,2,526,774,1034,1680,179,411,1208,1127,226,723,1369,306,98,37.97,37.99,27.07,46,37,10,2471.14,1773,1756.37,337,16.67,23.79,23.38,96.32,95.52,94.21
"NJD",2024,"NJD","NJD","Team Level","4on5",55,0.13,0.15,0.16,14904,38.89,4.74,2.17,5.57,1.28,12.48,25.77,4.52,4.74,4.52,42,10,13,65,4,5,0,2,0,7,34,38,48,3,6,117,35,16,24,31,15,6,1.01,2,1.73,2,1,1,65,52,52,18,0.49,0.74,0.73,4.5,4.5,4.48,202.02,32.1,19.23,43.22,6.82,113.9,58.73,26.76,32.1,26.76,171,103,109,383,23,36,4,29,0,93,93,148,251,8,16,125,21,10,45,185,38,51,5.14,4.72,22.24,6,6,11,383,274,274,2,5.08,8.18,8.18,29,29,25.61
"NJD",2024,"NJD","NJD","Team Level","5on4",55,0.89,0.87,0.86,14406,258.1,40.47,24.22,53.51,8.58,141.54,73.68,36.88,40.47,36.88,255,87,133,475,36,36,6,43,1,129,97,219,306,8,16,143,33,12,63,210,72,60,5.98,8.74,25.75,5,8,23,475,342,342,12,6.37,9.44,9.44,37.39,37.39,34.76,44,4.81,2.42,6.44,1.51,13.32,28.5,4.63,4.81,4.63,45,12,11,68,3,4,0,2,1,8,39,42,54,4,8,120,35,15,33,36,16,5,1.19,2.2,1.42,2,1,0,68,57,57,27,0.55,0.8,0.8,4.55,4.55,4.53
"PHI",2024,"PHI","PHI","Team Level","other",55,0.51,0.5,0.51,8445,124.44,25.56,8.71,22.64,3.92,62.88,43.28,24.75,25.56,24.75,114,53,58,225,28,9,0,15,1,50,64,86,139,6,12,86,32,18,29,89,42,36,3.34,5.3,16.92,4,7,17,225,167,167,17,2.51,3.37,3.37,24.7,24.7,24.17,115.25,25.03,7.91,21.16,3.93,58.34,42.63,23.35,25.03,23.35,107,52,69,228,29,15,3,13,0,45,57,78,130,9,18,110,27,14,22,77,48,34,3,5.72,16.31,8,4,17,228,159,159,9,2.2,5.9,5.9,21.33,21.33,20.87
"PHI",2024,"PHI","PHI","Team Level","all",55,0.51,0.48,0.5,201443,1632.69,168.66,113.25,391.32,55.27,868.12,629.38,160.83,169.54,161.63,1492,734,855,3081,153,170,19,305,4,616,978,1339,2073,189,421,1546,1123,290,815,1595,433,198,45.57,55.67,67.41,56,53,44,3077.38,2226,2227.11,398,25.05,36.47,36.47,157.24,157.65,154.52,1633.38,159.05,107.47,395.06,54.48,880.83,657.1,151.93,159.55,152.38,1490,764,1089,3343,183,166,18,276,1,702,926,1307,2071,199,441,1531,1200,278,782,1662,422,170,48.04,52.55,58.46,75,57,51,3366.33,2254,2269.94,384,23.68,39.11,39.11,143.62,144.15,141.15
"PHI",2024,"PHI","PHI","Team Level","5on5",55,0.54,0.48,0.5,165704,1316.84,117.87,88.05,330.68,44.68,698.38,515.34,112.29,118.76,113.08,1206,589,698,2493,103,143,15,252,2,491,804,1103,1692,168,376,1259,1043,238,735,1324,344,127,37.72,44.26,35.89,49,39,15,2489.38,1795,1796.11,361,18.31,29.21,29.21,106.97,107.38,105.43,1287.24,102.44,81.11,327.36,42.94,700.88,524.27,98.58,102.96,99.02,1158,621,909,2688,124,123,12,232,1,545,754,1034,1655,177,394,1166,1110,242,692,1386,302,91,38.96,37.92,25.56,63,44,17,2711.33,1779,1794.94,355,16.79,25.24,25.49,93.74,94.27,92.75
"PHI",2024,"PHI","PHI","Team Level","4on5",55,0.12,0.12,0.14,13096,31.08,3.7,1.94,4.38,1.06,10.3,20.62,3.68,3.7,3.68,30,12,7,49,3,2,0,2,0,5,30,27,39,4,11,84,33,19,18,24,13,5,0.69,1.78,1.24,1,2,0,49,42,42,17,0.44,0.27,0.27,3.88,3.88,3.87,187.21,27.99,16.23,40.16,6.1,106.51,57.01,26.45,27.99,26.45,169,85,104,358,26,27,3,24,0,100,77,143,228,9,21,127,22,13,52,152,59,43,4.65,7.39,15.96,3,6,17,358,254,254,7,4.19,7.64,7.39,24.79,24.79,23.79
"PHI",2024,"PHI","PHI","Team Level","5on4",55,0.86,0.82,0.78,14198,160.33,21.52,14.56,33.61,5.61,96.56,50.13,20.12,21.52,20.12,142,80,92,314,19,16,4,36,1,70,80,123,203,11,22,117,15,15,33,158,34,30,3.82,4.34,13.36,2,5,12,314,222,222,3,3.8,3.62,3.62,21.7,21.7,21.05,43.68,3.58,2.22,6.38,1.51,15.1,33.2,3.55,3.58,3.55,56,6,7,69,4,1,0,7,0,12,38,52,58,4,8,128,41,9,16,47,13,2,1.43,1.52,0.63,1,3,0,69,62,62,13,0.51,0.33,0.33,3.76,3.76,3.74
"LAK",2024,"LAK","LAK","Team Level","other",51,0.51,0.46,0.43,7389,72.8,21.22,4.87,12.7,2.36,37.93,22.92,20.15,21.22,20.15,66,36,51,153,22,3,1,7,0,41,29,44,80,3,4,67,17,12,18,52,19,31,2.17,2.37,16.68,2,1,19,153,102,102,10,1.4,0.91,0.91,21.71,21.71,20.65,99.05,20.52,7.32,18.94,3.42,53.79,32.01,19.35,20.52,19.35,93,43,41,177,26,15,3,13,1,39,42,67,110,0,0,75,20,12,12,71,38,27,2.62,4.52,13.38,4,9,13,177,136,136,2,2.1,3.23,3.23,19.39,19.39,18.66
"LAK",2024,"LAK","LAK","Team Level","all",51,0.53,0.52,0.53,184808,1598.6,152.24,106.77,394.03,54.34,854.34,628.28,144.97,154.39,147.03,1403,787,873,3063,145,174,24,285,7,725,854,1258,2045,176,398,1439,1089,245,674,1642,363,185,44.34,45.53,62.37,57,36,52,3103.37,2190,2218.99,310,23.54,36.65,36.84,138.93,140.82,137.7,1437.03,136.97,96.23,348.33,48.52,778.43,561.53,131.42,136.23,130.67,1298,672,824,2794,129,138,20,243,6,610,844,1169,1841,148,337,1385,1143,250,671,1454,378,138,40.84,47.73,48.4,51,43,35,2767.65,1970,1956.79,299,21.53,28.38,28.44,130.06,129.25,126.51
"LAK",2024,"LAK","LAK","Team Level","5on5",51,0.56,0.53,0.54,151490,1314.46,111.17,84.02,335.1,44.81,700.68,526.22,106.48,113.32,108.54,1148,654,726,2528,106,144,23,245,6,583,718,1042,1696,158,366,1135,1028,206,583,1371,305,126,37.13,38.29,35.75,51,30,25,2568.37,1802,1830.99,272,17.44,31.57,32.05,96.56,98.44,97.04,1122.95,87.68,70.7,284.64,38.01,609.02,456.94,84.88,86.94,84.13,1009,538,698,2245,80,97,12,200,5,478,687,929,1467,134,307,1103,1091,210,598,1202,274,71,31.96,34.85,20.87,40,29,11,2218.65,1547,1533.79,272,14.64,18.32,18.58,83.74,82.93,81.87
"LAK",2024,"LAK","LAK","Team Level","4on5",51,0.14,0.15,0.17,14391,38.06,4.3,2.02,6.01,1.24,11.68,24.75,4.07,4.3,4.07,36,14,7,57,1,5,0,3,1,6,34,35,49,5,10,118,35,14,32,32,11,7,0.75,1.41,2.14,1,0,0,57,50,50,24,0.46,0.82,0.82,3.94,3.94,3.9,189.68,26.28,17,41.39,6.32,107.53,54.47,24.77,26.28,24.77,170,83,76,329,21,23,4,29,0,87,93,149,232,9,18,132,9,11,38,160,55,38,5.68,6.97,13.64,6,5,10,329,253,253,6,4.53,6.32,6.12,24.69,24.69,23.75
"LAK",2024,"LAK","LAK","Team Level","5on4",51,0.86,0.88,0.87,11538,173.28,15.56,15.86,40.21,5.94,104.06,54.38,14.27,15.56,14.27,153,83,89,325,16,22,0,30,0,95,73,137,220,10,18,119,9,13,41,187,28,21,4.3,3.46,7.8,3,5,8,325,236,236,4,4.23,3.35,3.05,16.73,16.73,16.1,25.34,2.48,1.21,3.36,0.77,8.07,18.11,2.42,2.48,2.42,26,8,9,43,2,3,1,1,0,6,22,24,32,5,12,75,23,17,23,21,11,2,0.58,1.39,0.51,1,0,1,43,34,34,19,0.27,0.52,0.52,2.24,2.24,2.23
"CBJ",2024,"CBJ","CBJ","Team Level","other",54,0.52,0.48,0.49,6927,106.65,22.21,7.22,20.83,3.69,55.98,36.07,20.35,22.21,20.35,106,40,46,192,19,11,1,17,1,51,47,87,127,4,8,80,16,12,23,81,32,33,3.01,4.11,15.09,4,3,12,192,146,146,11,2.07,3.07,3.07,21.21,21.21,19.85,106.32,20.69,7.56,19.82,3.63,60.78,36.51,18.98,20.69,18.98,100,49,56,205,26,6,4,16,2,60,39,74,123,1,0,106,18,19,25,81,37,31,3.43,4.64,12.63,4,9,13,205,149,149,9,2.23,1.81,1.81,21.11,21.11,19.65
"CBJ",2024,"CBJ","CBJ","Team Level","all",54,0.47,0.48,0.48,197119,1641.61,154,107.21,402.85,55.96,869.81,655.17,145.78,154.85,146.6,1576,669,885,3130,175,177,22,345,6,687,855,1401,2070,179,408,1442,1041,267,823,1691,369,185,45.06,46.07,62.87,64,65,46,3151.91,2245,2260.56,390,23.7,37.68,37.68,140.01,140.73,136.83,1735.9,172.61,117.86,416.78,58.45,951.07,673.24,164.74,172.67,164.74,1572,818,1014,3404,178,191,22,285,9,744,983,1394,2212,156,367,1637,1051,286,841,1721,480,189,50.23,60.6,61.78,62,69,47,3394,2390,2389.91,388,26.12,41.25,41.32,157.42,157.49,153.44
"CBJ",2024,"CBJ","CBJ","Team Level","5on5",54,0.46,0.48,0.48,164244,1309.96,107.15,81.44,335.72,44.69,692.89,530.11,101.78,108,102.61,1234,558,738,2530,123,145,19,285,5,539,695,1111,1669,158,366,1132,993,232,731,1389,283,120,36.35,35.37,35.43,54,50,19,2551.91,1792,1807.56,357,16.89,31.36,31.36,92.68,93.39,91.47,1400.87,124.49,90.85,350.02,47.24,759.99,555.4,119.31,124.55,119.3,1234,694,863,2791,116,168,16,237,6,579,822,1118,1812,145,347,1299,995,243,742,1436,367,125,41.22,46.21,37.05,51,47,18,2781,1928,1927.91,347,18.84,35.43,35.5,107.84,107.91,105.94
"CBJ",2024,"CBJ","CBJ","Team Level","4on5",54,0.15,0.16,0.2,13532,49.24,4.49,2.34,7.86,1.67,16.07,34.58,4.41,4.49,4.41,56,11,5,72,6,2,0,7,0,7,45,50,61,3,6,115,16,18,23,51,9,7,1.32,1.19,1.98,0,3,3,72,67,67,20,0.55,0.34,0.34,4.7,4.7,4.62,199.99,24.47,17.96,43,6.73,121.27,61.57,23.53,24.47,23.53,205,70,90,365,33,16,2,32,1,99,94,172,242,8,16,125,14,10,41,179,66,30,4.86,8.33,11.28,5,12,16,365,275,275,7,4.7,3.71,3.71,25.47,25.47,24.87
"CBJ",2024,"CBJ","CBJ","Team Level","5on4",54,0.87,0.89,0.86,12416,175.76,20.14,16.21,38.44,5.92,104.88,54.41,19.23,20.14,19.23,180,60,96,336,27,19,2,36,0,90,68,153,213,14,28,115,16,5,46,170,45,25,4.38,5.4,10.36,6,9,12,336,240,240,2,4.19,2.9,2.9,21.42,21.42,20.89,28.72,2.95,1.48,3.94,0.85,9.03,19.75,2.92,2.95,2.92,33,5,5,43,3,1,0,0,0,6,28,30,35,2,4,107,24,14,33,25,10,3,0.72,1.42,0.81,2,1,0,43,38,38,25,0.34,0.3,0.3,3,3,2.98
"NYI",2024,"NYI","NYI","Team Level","other",53,0.45,0.46,0.47,7173,100.37,20.06,7.88,18.53,3.58,61.11,30.85,19.19,20.06,19.19,93,49,44,186,20,9,2,13,2,57,41,73,122,5,18,83,22,13,18,79,39,24,3.05,4.47,12.53,3,5,12,186,142,142,9,2.22,1.54,1.54,20.74,20.74,19.85,118.6,24.77,8.63,21.4,3.83,64.75,38.63,22.99,24.77,22.99,118,44,59,221,28,10,3,13,0,56,55,90,134,3,6,72,18,10,16,86,37,39,3.75,4.73,16.28,4,4,20,221,162,162,5,2.49,3.62,3.62,23.64,23.64,22.11
"NYI",2024,"NYI","NYI","Team Level","all",53,0.48,0.5,0.5,192883,1647,150.96,111.84,405.41,56.66,907.97,650.16,145.28,151.64,145.92,1516,767,868,3151,144,158,18,335,3,758,885,1372,2139,132,293,1646,1196,274,789,1726,401,156,49.59,49.61,51.75,50,57,37,3156.8,2283,2287.54,377,24.85,31.18,31.2,144.61,145.03,141.58,1651.45,162.57,110.95,397.93,54.83,889.01,644.7,155.37,163.08,155.82,1507,753,933,3193,151,176,15,261,3,741,928,1356,2109,140,305,1332,1192,294,783,1670,407,183,47.76,51.74,63.07,51,48,52,3193.53,2260,2263.13,388,24.59,38.02,38.02,149.14,149.42,145.84
"NYI",2024,"NYI","NYI","Team Level","5on5",53,0.49,0.49,0.5,161788,1315.27,107.54,84.58,337,45.28,721.82,528.78,103.98,108.22,104.62,1189,636,728,2553,105,122,13,263,1,599,735,1084,1720,122,265,1305,1136,237,711,1424,292,109,40.69,36.7,30.15,45,42,18,2558.8,1825,1829.54,353,17.58,25.32,25.34,99.78,100.21,98.66,1338.42,111.17,85.49,337.14,44.74,717.85,537.6,107.44,111.69,107.89,1207,627,793,2627,90,139,9,220,3,611,771,1117,1744,133,291,1070,1133,259,714,1402,323,109,38.82,41.22,31.14,41,37,12,2627.53,1834,1837.13,359,17.74,28.49,28.57,100.34,100.62,99.26
"NYI",2024,"NYI","NYI","Team Level","4on5",53,0.14,0.17,0.2,10722,44.13,3.82,2.19,6.04,1.3,13.57,31.07,3.76,3.82,3.76,48,10,6,64,5,3,1,5,0,10,35,43,53,3,6,111,26,14,13,40,15,3,1.17,1.87,0.78,2,2,1,64,58,58,8,0.49,0.28,0.28,4.03,4.03,4.02,168.64,24.31,15.52,35.6,5.46,97.85,50.26,22.66,24.31,22.66,154,75,74,303,31,25,3,28,0,68,77,123,198,2,4,93,14,7,30,156,40,33,4.27,5,15.03,5,6,20,303,229,229,6,4.06,5.48,5.4,22.97,22.97,22.3
"NYI",2024,"NYI","NYI","Team Level","5on4",53,0.89,0.89,0.88,13200,187.23,19.54,17.19,43.83,6.51,111.46,59.46,18.35,19.54,18.35,186,72,90,348,14,24,2,54,0,92,74,172,244,2,4,147,12,10,47,183,55,20,4.68,6.58,8.28,0,8,6,348,258,258,7,4.56,4.05,4.05,20.06,20.06,19.04,25.79,2.33,1.31,3.79,0.81,8.56,18.21,2.29,2.33,2.29,28,7,7,42,2,2,0,0,0,6,25,26,33,2,4,97,27,18,23,26,7,2,0.91,0.79,0.62,1,1,0,42,35,35,18,0.3,0.44,0.44,2.19,2.19,2.18
