"team","season","name","team.1","position","situation","games_played","xGoalsPercentage","corsiPercentage","fenwickPercentage","iceTime","xOnGoalFor","xGoalsFor","xReboundsFor","xFreezeFor","xPlayStoppedFor","xPlayContinuedInZoneFor","xPlayContinuedOutsideZoneFor","flurryAdjustedxGoalsFor","scoreVenueAdjustedxGoalsFor","flurryScoreVenueAdjustedxGoalsFor","shotsOnGoalFor","missedShotsFor","blockedShotAttemptsFor","shotAttemptsFor","goalsFor","reboundsFor","reboundGoalsFor","freezeFor","playStoppedFor","playContinuedInZoneFor","playContinuedOutsideZoneFor","savedShotsOnGoalFor","savedUnblockedShotAttemptsFor","penaltiesFor","penalityMinutesFor","faceOffsWonFor","hitsFor","takeawaysFor","giveawaysFor","lowDangerShotsFor","mediumDangerShotsFor","highDangerShotsFor","lowDangerxGoalsFor","mediumDangerxGoalsFor","highDangerxGoalsFor","lowDangerGoalsFor","mediumDangerGoalsFor","highDangerGoalsFor","scoreAdjustedShotsAttemptsFor","unblockedShotAttemptsFor","scoreAdjustedUnblockedShotAttemptsFor","dZoneGiveawaysFor","xGoalsFromxReboundsOfShotsFor","xGoalsFromActualReboundsOfShotsFor","reboundxGoalsFor","totalShotCreditFor","scoreAdjustedTotalShotCreditFor","scoreFlurryAdjustedTotalShotCreditFor","xOnGoalAgainst","xGoalsAgainst","xReboundsAgainst","xFreezeAgainst","xPlayStoppedAgainst","xPlayContinuedInZoneAgainst","xPlayContinuedOutsideZoneAgainst","flurryAdjustedxGoalsAgainst","scoreVenueAdjustedxGoalsAgainst","flurryScoreVenueAdjustedxGoalsAgainst","shotsOnGoalAgainst","missedShotsAgainst","blockedShotAttemptsAgainst","shotAttemptsAgainst","goalsAgainst","reboundsAgainst","reboundGoalsAgainst","freezeAgainst","playStoppedAgainst","playContinuedInZoneAgainst","playContinuedOutsideZoneAgainst","savedShotsOnGoalAgainst","savedUnblockedShotAttemptsAgainst","penaltiesAgainst","penalityMinutesAgainst","faceOffsWonAgainst","hitsAgainst","takeawaysAgainst","giveawaysAgainst","lowDangerShotsAgainst","mediumDangerShotsAgainst","highDangerShotsAgainst","lowDangerxGoalsAgainst","mediumDangerxGoalsAgainst","highDangerxGoalsAgainst","lowDangerGoalsAgainst","mediumDangerGoalsAgainst","highDangerGoalsAgainst","scoreAdjustedShotsAttemptsAgainst","unblockedShotAttemptsAgainst","scoreAdjustedUnblockedShotAttemptsAgainst","dZoneGiveawaysAgainst","xGoalsFromxReboundsOfShotsAgainst","xGoalsFromActualReboundsOfShotsAgainst","reboundxGoalsAgainst","totalShotCreditAgainst","scoreAdjustedTotalShotCreditAgainst","scoreFlurryAdjustedTotalShotCreditAgainst"
"MIN",2023,"MIN","MIN","Team Level","all",82,0.52,0.5,0.51,299052,2624.6,258.04,184.87,612.07,87.5,1435.56,1024.95,242.66,258.51,243.08,2472,1131,1401,5004,248,250,24,500,13,1315,1277,2224,3355,330,776,2192,1598,497,526,2653,675,275,73.97,84.01,100.04,73,100,75,5008.08,3603,3610.73,244,42.12,53.05,53.05,247.11,247.29,237.64,2545.12,238.66,175.8,602.98,84.29,1410.27,1001,229.22,239.94,230.5,2437,1076,1421,4934,260,189,21,499,18,1233,1314,2177,3253,331,780,2441,1606,478,518,2667,595,251,76.44,74.11,88.11,105,76,79,4962.9,3513,3533.73,278,39.33,40.88,40.88,237.12,238.48,232.36
"MIN",2023,"MIN","MIN","Team Level","5on5",82,0.51,0.5,0.5,237710,1906.54,153.57,122.85,463.21,62.82,1039.94,788.6,148.89,154.04,149.3,1789,842,1084,3715,159,154,16,374,10,946,988,1630,2472,296,699,1607,1472,418,432,2014,490,127,56.75,60.94,35.88,60,77,22,3719.08,2631,2638.73,212,25.38,31.01,31.54,147.41,147.59,145.07,1912.79,147.92,122.56,476.95,63.14,1051.55,779.89,143.74,149.19,145.02,1818,824,1124,3766,163,124,10,408,11,914,1022,1655,2479,288,683,1864,1463,392,435,2097,407,138,58.94,50.55,38.44,86,50,27,3794.9,2642,2662.73,242,25.34,26.09,26.66,146.6,147.97,145.65
"MIN",2023,"MIN","MIN","Team Level","4on5",82,0.07,0.09,0.1,24858,51.58,4.21,2.48,7.81,1.54,15.27,35.67,4.07,4.21,4.07,56,11,10,77,3,1,0,5,0,18,40,53,64,8,19,194,65,44,24,52,8,7,1.27,0.98,1.96,2,1,0,77,67,67,23,0.58,0.07,0.07,4.73,4.73,4.56,432.97,57.28,39.74,90.72,14.44,260.14,135.66,53.92,57.28,53.92,424,174,212,810,62,49,7,66,4,230,187,362,536,19,43,244,27,21,37,406,125,67,11.79,15.4,30.09,12,16,34,810,598,598,6,10.25,10,9.43,58.09,58.09,55.6
"MIN",2023,"MIN","MIN","Team Level","5on4",82,0.92,0.92,0.91,26095,518.89,68.92,48.89,114.54,18,299.1,154.55,60.63,68.92,60.63,489,215,232,936,53,86,7,95,3,276,191,436,651,18,39,266,25,13,52,483,124,97,12.22,14.94,41.76,6,13,34,936,704,704,2,12.91,18.63,18.1,63.73,63.73,58.56,52.97,5.87,2.75,7.87,1.7,16.54,35.27,5.75,5.87,5.75,55,15,17,87,9,2,1,2,1,5,51,46,61,17,37,214,81,48,24,48,13,9,1.35,2.01,2.51,3,3,3,87,70,70,23,0.62,0.6,0.6,5.89,5.89,5.87
"NYI",2023,"NYI","NYI","Team Level","other",82,0.39,0.43,0.44,9542,135.99,27.16,9.26,25.27,4.61,69.85,48.83,25.57,27.16,25.57,130,55,52,237,25,13,1,23,1,56,67,105,160,12,24,129,30,17,21,110,40,35,4.42,4.9,17.85,9,7,9,237,185,185,11,2.57,3.8,4.42,25.31,25.31,24.44,170.07,41.98,12.13,30.53,5.87,88.05,53.43,37.55,41.98,37.55,172,60,84,316,44,23,5,22,0,76,67,128,188,4,8,119,29,17,28,119,48,65,4.3,5.91,31.77,5,5,34,316,232,232,12,3.61,7.92,7.27,38.32,38.32,35.72
"NYI",2023,"NYI","NYI","Team Level","all",82,0.48,0.47,0.48,298986,2576.93,239.91,172.22,635.42,88.31,1377.44,1011.69,228.26,241.24,229.55,2470,1055,1296,4821,245,283,34,464,9,1205,1319,2225,3280,247,536,2391,2062,527,699,2638,599,288,69.03,74.95,95.94,102,83,60,4846.92,3525,3545.77,334,38.08,60.69,60.73,217.26,218.44,213.05,2795.94,264.71,186.24,685.58,94.34,1506.99,1109.13,251.73,264.01,251.06,2687,1160,1673,5520,258,296,31,482,5,1424,1382,2429,3589,254,556,2273,1692,542,691,2936,600,311,78.99,74.78,110.94,91,79,88,5499.95,3847,3831.74,353,41.3,60.65,61.05,244.96,244.38,237.49
"NYI",2023,"NYI","NYI","Team Level","5on5",82,0.5,0.47,0.48,247856,2080.8,172.08,132.16,534.91,71.68,1105.23,833.93,164.59,173.4,165.87,1985,865,1066,3916,166,237,24,389,7,970,1081,1819,2684,208,452,1871,1959,461,584,2169,482,199,55.98,60.78,55.32,78,59,29,3941.92,2850,2870.77,285,27.52,48.58,48.27,151.32,152.5,149.76,2214.59,172.26,139.98,568.45,74.72,1193.45,902.13,166.22,171.56,165.56,2104,947,1380,4431,158,225,20,396,4,1132,1136,1946,2893,226,494,1795,1578,452,605,2424,449,178,64.84,56.32,51.11,75,59,24,4410.95,3051,3035.74,315,28.93,43.68,44.43,156.77,156.18,153.57
"NYI",2023,"NYI","NYI","Team Level","4on5",82,0.09,0.08,0.1,19957,43.15,4.38,2.1,5.78,1.22,12.65,28.87,4.32,4.38,4.32,45,10,6,61,10,1,0,2,0,6,36,35,45,6,12,178,50,37,33,38,12,5,1.22,1.71,1.45,6,3,1,61,55,55,29,0.48,0.21,0.21,4.65,4.65,4.59,343.81,44.81,31.02,75.5,11.5,203.91,107.25,42.69,44.81,42.69,342,132,194,668,54,41,5,56,1,196,126,288,420,15,30,183,19,15,36,323,90,61,8.02,10.8,25.99,10,14,30,668,474,474,5,8.03,7.43,8.03,44.83,44.83,43.22
"NYI",2023,"NYI","NYI","Team Level","5on4",82,0.87,0.85,0.83,21631,316.99,36.3,28.7,69.46,10.8,189.7,100.04,33.79,36.3,33.79,310,125,172,607,44,32,9,50,1,173,135,266,391,21,48,213,23,12,61,321,65,49,7.41,7.56,21.32,9,14,21,607,435,435,9,7.5,8.1,7.82,35.98,35.98,34.25,67.48,5.65,3.12,11.09,2.25,21.57,46.31,5.27,5.65,5.27,69,21,15,105,2,7,1,8,0,20,53,67,88,9,24,176,66,58,22,70,13,7,1.83,1.76,2.07,1,1,0,105,90,90,21,0.72,1.63,1.32,5.05,5.05,4.98
"PIT",2023,"PIT","PIT","Team Level","other",82,0.57,0.54,0.53,10389,154.08,40.35,11.11,27.55,5.47,84.08,50.45,37.13,40.35,37.13,142,77,93,312,33,13,5,16,1,87,69,109,186,4,8,130,29,24,17,107,55,57,4.17,6.82,29.36,3,5,25,312,219,219,6,3.24,4.55,4.55,39.05,39.05,36.56,140.05,31.02,9.61,26.28,4.77,74.77,49.55,29.7,31.02,29.7,120,76,67,263,22,9,0,17,2,78,68,98,174,10,20,118,40,25,16,109,44,43,4.53,5.52,20.97,4,7,11,263,196,196,12,2.77,2.01,1.96,31.83,31.83,30.6
"PIT",2023,"PIT","PIT","Team Level","all",82,0.53,0.52,0.51,298289,2795.76,286.1,193.62,679.94,96.21,1497.05,1089.15,269.06,286.83,269.83,2685,1158,1518,5361,253,317,30,481,12,1384,1396,2432,3590,265,567,2621,1631,706,672,2789,709,345,79.07,88.26,118.77,106,72,75,5376.86,3843,3855.26,306,43.33,63.4,63.47,265.96,267.01,257.41,2695.8,255.97,181.23,649.92,90.76,1448.69,1075.43,244.48,256.91,245.42,2480,1222,1341,5043,248,268,39,495,14,1310,1367,2232,3454,277,594,2176,1749,611,595,2783,644,275,80.76,80.82,94.39,79,92,77,5043.3,3702,3704.82,308,40.02,53.85,53.9,242.09,243.07,236.01
"PIT",2023,"PIT","PIT","Team Level","5on5",82,0.52,0.51,0.51,240451,2186.18,187.65,142.34,556.63,74.79,1166.76,875.9,179.76,188.38,180.53,2093,912,1194,4199,179,237,24,388,9,1078,1114,1914,2826,238,515,2020,1495,600,554,2269,531,205,63.68,66.1,57.87,94,55,30,4214.86,3005,3017.26,268,29.64,46.73,47.11,170.18,171.23,167.93,2129.49,176.75,137.58,535.17,71.89,1140.72,858.89,169.99,177.7,170.94,1960,961,1073,3994,172,226,31,405,11,1025,1082,1788,2749,244,528,1685,1616,501,498,2251,495,175,64.09,62.28,50.38,65,70,37,3994.3,2921,2923.82,270,28.55,44.37,44.7,160.59,161.57,158.77
"PIT",2023,"PIT","PIT","Team Level","4on5",82,0.15,0.12,0.15,22936,62.97,7.04,3.18,9.65,2.04,19,40.09,6.46,7.04,6.46,68,13,8,89,4,8,0,4,0,18,47,64,77,4,8,205,71,55,27,53,16,12,1.39,2.18,3.47,1,1,2,89,81,81,23,0.72,2.16,2.16,5.61,5.61,5.54,339.71,39.67,29.31,75.37,11.25,203.6,106.81,36.45,39.67,36.45,313,153,188,654,42,27,5,72,1,178,146,271,424,12,24,199,26,15,56,336,85,45,9.36,10.64,19.67,6,13,23,654,466,466,4,7.64,5.97,5.69,41.6,41.6,38.6
"PIT",2023,"PIT","PIT","Team Level","5on4",82,0.86,0.85,0.82,24513,392.51,51.07,37.01,86.11,13.92,227.21,122.71,45.72,51.07,45.72,382,156,223,761,37,59,1,73,2,201,166,345,501,19,36,266,36,27,74,360,107,71,9.83,13.16,28.08,8,11,18,761,538,538,9,9.73,9.96,9.65,51.13,51.13,47.38,86.54,8.54,4.74,13.11,2.84,29.59,60.19,8.33,8.54,8.33,87,32,13,132,12,6,3,1,0,29,71,75,107,11,22,174,67,70,25,87,20,12,2.78,2.38,3.37,4,2,6,132,119,119,22,1.08,1.5,1.55,8.06,8.06,8.04
"COL",2023,"COL","COL","Team Level","other",82,0.55,0.5,0.51,9368,141.05,38.03,9.33,23.16,4.55,73.28,49.65,35.78,38.03,35.78,137,61,55,253,37,7,0,28,0,65,61,100,161,7,17,120,16,24,18,96,45,57,4.02,5.75,28.26,6,4,27,253,198,198,9,2.87,2.38,2.38,38.52,38.52,36.64,141.55,31.72,10.89,26.34,4.92,74.29,43.83,29.39,31.72,29.39,136,56,65,257,29,20,3,21,1,73,48,107,163,9,18,145,21,21,20,94,48,50,3.07,6.16,22.5,5,5,19,257,192,192,9,3.1,5.15,5.15,29.68,29.68,28.02
"COL",2023,"COL","COL","Team Level","all",82,0.52,0.53,0.52,298164,2784.9,291.01,192.55,656.53,91.61,1503.33,1090.97,275.23,292.15,276.4,2707,1119,1506,5332,302,243,33,557,7,1371,1346,2405,3524,287,615,2297,1672,647,603,2713,809,304,80.44,99.63,110.93,107,111,84,5380.23,3826,3851.91,295,42.97,57.05,57.05,276.93,278.13,269.6,2586.85,270.27,180.08,614.75,85.96,1361.47,989.55,252.85,270.42,252.85,2446,1057,1309,4812,252,286,35,476,12,1192,1285,2194,3251,307,661,2494,1629,632,493,2528,642,333,70.42,80.82,119.03,78,85,89,4792.03,3503,3495.63,269,40.46,65.65,65.65,245.01,244.83,237.3
"COL",2023,"COL","COL","Team Level","5on5",82,0.52,0.53,0.52,238086,2145.25,186.58,140.39,536.29,71.47,1152.3,858.97,179.41,187.72,180.59,2074,872,1255,4201,196,186,22,438,6,1071,1049,1878,2750,256,547,1759,1556,536,501,2172,602,172,63.98,74.25,48.35,87,85,24,4249.23,2946,2971.9,255,29.2,38.68,38.69,177.08,178.28,175.18,1991.49,171.15,129.68,495.78,66.01,1053.63,788.8,163.06,171.31,163.07,1867,839,1068,3774,168,198,26,379,9,932,1020,1699,2538,264,575,1897,1535,527,419,2039,485,182,56.63,61.43,53.09,70,64,34,3754.03,2706,2698.63,240,27.03,43.18,43.44,154.69,154.51,151.51
"COL",2023,"COL","COL","Team Level","4on5",82,0.11,0.13,0.15,24634,67.81,7.17,3.54,9.54,2,21.39,47.36,7.05,7.17,7.05,71,20,11,102,6,7,0,6,0,9,63,65,85,10,23,177,76,68,26,65,17,9,2.33,2.05,2.79,1,3,2,102,91,91,24,0.81,1.53,1.53,6.45,6.45,6.43,380.05,58.08,35.37,81.76,12.34,211.29,111.16,51.5,58.08,51.5,367,143,164,674,49,56,6,71,1,174,159,318,461,23,46,253,15,21,35,335,91,84,8.97,10.84,38.26,3,14,32,674,510,510,5,9.38,14.73,14.47,52.98,52.98,50.23
"COL",2023,"COL","COL","Team Level","5on4",82,0.86,0.88,0.86,26076,430.79,59.23,39.28,87.57,13.58,256.35,135,52.99,59.23,52.99,425,166,185,776,63,43,11,85,1,226,173,362,528,14,28,241,24,19,58,380,145,66,10.11,17.58,31.54,13,19,31,776,591,591,7,10.09,14.45,14.44,54.88,54.88,51.34,73.78,9.3,4.14,10.86,2.69,22.25,45.76,8.89,9.3,8.89,76,19,12,107,6,12,0,5,1,13,58,70,89,11,22,199,58,63,19,60,18,17,1.75,2.38,5.18,0,2,4,107,95,95,15,0.95,2.59,2.59,7.65,7.65,7.53
"WPG",2023,"WPG","WPG","Team Level","other",82,0.54,0.42,0.45,8614,109.42,35.09,7.38,18.3,3.69,53.44,33.09,33.9,35.09,33.9,111,40,45,196,35,8,3,14,1,46,47,76,116,4,8,89,31,22,22,63,39,49,2.75,4.87,27.48,3,5,27,196,151,151,18,2.14,2.45,2.45,34.79,34.79,33.89,135.23,29.66,11.05,25.22,4.93,77.32,36.83,26.05,29.66,26.05,130,55,87,272,24,19,3,20,1,75,46,106,161,2,4,92,34,13,22,96,37,52,3.51,4.88,21.27,5,1,18,272,185,185,14,3.24,6.23,6.23,26.67,26.67,24.74
"WPG",2023,"WPG","WPG","Team Level","all",82,0.5,0.5,0.51,297069,2579.34,247.1,173.13,622.72,87.03,1410.7,1052.33,237.75,249.19,239.8,2489,1104,1310,4903,259,257,37,555,9,1181,1332,2230,3334,263,611,2169,1851,524,555,2702,636,255,73.52,80.33,93.25,88,88,83,4955.66,3593,3633.65,404,38.04,53.04,53.09,232.07,234.18,228.84,2541.16,242.81,172.9,628.64,86.54,1382.71,996.4,229.07,242.19,228.53,2429,1081,1336,4846,198,290,29,494,3,1241,1284,2231,3312,282,648,2389,1926,459,685,2630,595,285,71.01,74.61,97.2,64,57,77,4803.4,3510,3483.66,498,38.67,62.75,62.75,218.73,218.08,211.7
"WPG",2023,"WPG","WPG","Team Level","5on5",82,0.51,0.51,0.51,242687,2092.94,170.67,133.68,526.41,70.9,1145.77,876.57,164.53,172.77,166.59,2010,914,1079,4003,179,211,31,456,7,964,1107,1831,2745,244,573,1718,1720,439,466,2257,506,161,61.05,64.16,45.47,78,68,33,4055.66,2924,2964.65,350,27.71,43.05,43.23,155.17,157.29,154.43,2002.04,161.65,127.48,518.55,67.98,1079.47,809.86,153.88,161.03,153.34,1913,852,1065,3830,121,227,16,406,2,964,1045,1792,2644,262,610,1859,1799,374,574,2150,450,165,58.02,56.17,47.46,55,39,27,3787.4,2765,2738.66,423,26.5,45.57,45.57,142.58,141.93,139.13
"WPG",2023,"WPG","WPG","Team Level","4on5",82,0.1,0.11,0.13,21475,57.3,4.98,2.59,8.43,1.78,17.58,40.64,4.92,4.98,4.92,58,18,5,81,2,1,0,8,0,9,56,56,74,5,10,150,71,46,35,58,11,7,1.48,1.51,2,0,1,1,81,76,76,34,0.6,0.36,0.36,5.22,5.22,5.2,349.7,47.04,31.83,76.99,12.05,209.37,111.71,44.69,47.04,44.69,333,156,175,664,48,44,10,63,0,191,143,285,441,12,24,214,28,14,30,334,91,64,8.21,11.45,27.37,3,13,32,664,489,489,4,8.33,10.94,10.94,44.43,44.43,42.8
"WPG",2023,"WPG","WPG","Team Level","5on4",82,0.89,0.89,0.86,24293,319.69,36.34,29.48,69.58,10.66,193.91,102.02,34.4,36.34,34.4,310,132,181,623,43,37,3,77,1,162,122,267,399,10,20,212,29,17,32,324,80,38,8.24,9.79,18.32,7,14,22,623,442,442,2,7.58,7.19,7.06,36.88,36.88,35.32,54.19,4.47,2.54,7.88,1.57,16.55,38,4.46,4.47,4.46,53,18,9,80,5,0,0,5,0,11,50,48,66,6,10,224,65,58,59,50,17,4,1.26,2.11,1.1,1,4,0,80,71,71,57,0.59,0,0,5.05,5.05,5.04
"DET",2023,"DET","DET","Team Level","other",82,0.52,0.53,0.51,11068,159.23,36.13,10.87,28.49,5.38,80.86,53.28,33.55,36.13,33.55,148,67,83,298,39,15,5,22,0,68,71,109,176,9,16,141,32,24,15,110,52,53,4.3,6.28,25.55,5,10,24,298,215,215,7,3.24,5.44,5.44,33.93,33.93,32.25,150.08,33.27,9.6,28.17,5.03,72.53,57.4,31.46,33.27,31.46,136,70,63,269,26,11,1,21,1,83,64,110,180,12,22,121,27,27,28,101,58,47,4.15,7.08,22.04,4,7,15,269,206,206,13,2.82,2.78,2.78,33.3,33.3,31.71
"DET",2023,"DET","DET","Team Level","all",82,0.47,0.47,0.47,298826,2477.56,242.89,164.7,592.9,82.99,1333.33,973.19,230.54,243.19,230.83,2375,1015,1291,4681,275,228,42,448,9,1163,1267,2100,3115,301,642,2386,1682,457,591,2547,575,268,72.38,70.32,100.19,97,93,85,4659.48,3390,3380.06,321,37.09,51.61,51.83,228.14,228.63,221.64,2800.45,272.6,186.99,687.39,95.04,1515.24,1109.73,258.81,273.6,259.8,2657,1210,1470,5337,273,279,36,544,12,1432,1327,2384,3594,338,710,2331,1644,510,587,2881,698,288,82.35,87.06,103.19,100,104,69,5368.43,3867,3890.95,302,41.77,56.52,56.52,257.85,258.83,250.21
"DET",2023,"DET","DET","Team Level","5on5",82,0.46,0.46,0.46,240094,1848.82,145.98,115.55,466.74,62.54,993.15,755.05,140.05,146.29,140.32,1761,778,1017,3556,179,171,27,350,8,845,986,1582,2360,262,563,1814,1529,394,500,1998,402,139,56.16,50.09,39.73,87,63,29,3534.47,2539,2529.06,286,23.9,34.37,34.97,134.91,135.4,133.38,2154.64,171.86,136.7,557.3,73.35,1179.76,870.01,165.44,172.85,166.43,2041,948,1187,4176,190,206,27,435,10,1095,1053,1851,2799,291,620,1789,1522,422,508,2332,506,151,65.46,63.44,42.95,78,85,27,4207.43,2989,3012.95,276,28.34,38.81,39.09,161.1,162.08,159.17
"DET",2023,"DET","DET","Team Level","4on5",82,0.09,0.1,0.12,22458,58.84,6.13,3.15,9.16,1.96,19.03,38.58,5.83,6.13,5.83,66,12,8,86,5,3,1,6,0,19,45,61,73,14,28,175,93,30,25,55,11,12,1.21,1.43,3.48,1,3,1,86,78,78,25,0.73,1.01,1.01,5.84,5.84,5.73,411.76,60.04,36.82,89.56,14.22,238.14,123.22,54.59,60.04,54.59,388,174,205,767,47,56,8,80,1,238,140,341,515,22,42,228,28,11,34,365,116,81,10.43,14.27,35.35,12,9,26,767,562,562,0,9.72,13.61,13.33,56.42,56.42,52.34
"DET",2023,"DET","DET","Team Level","5on4",82,0.88,0.86,0.84,25206,410.68,54.65,35.13,88.52,13.12,240.31,126.28,51.12,54.65,51.12,400,158,183,741,52,39,9,70,1,231,165,348,506,16,35,256,28,9,51,384,110,64,10.71,12.52,31.42,4,17,31,741,558,558,3,9.23,10.79,10.41,53.46,53.46,50.27,83.95,7.44,3.86,12.36,2.42,24.82,59.1,7.32,7.44,7.32,92,18,15,125,10,6,0,8,0,16,70,82,100,13,26,193,67,50,17,83,18,9,2.31,2.27,2.85,6,3,1,125,110,110,13,0.9,1.31,1.31,7.02,7.02,7
"CAR",2023,"CAR","CAR","Team Level","other",82,0.54,0.56,0.54,9364,133.3,33.1,8.99,24.54,4.6,71.24,43.53,31.42,33.1,31.42,122,64,82,268,38,11,3,19,0,73,45,84,148,7,14,135,18,28,18,90,43,53,3.88,4.72,24.49,7,6,25,268,186,186,6,2.6,3.28,3.28,32.41,32.41,31.46,115.56,28.77,7.4,20.08,3.71,57.08,42.95,26.24,28.77,26.24,107,53,48,208,23,8,3,13,0,55,61,84,137,3,6,98,34,23,21,74,41,45,2.52,4.73,21.52,2,6,15,208,160,160,3,2.14,3.33,3.33,27.58,27.58,25.88
"CAR",2023,"CAR","CAR","Team Level","all",82,0.56,0.59,0.58,298362,3003.31,285.86,196.43,761.79,104.08,1629.83,1180,270.79,287.62,272.44,2735,1423,1663,5821,277,312,35,617,11,1574,1367,2458,3881,283,601,2551,1383,621,680,3129,715,314,87.38,87.83,110.64,91,87,99,5889.97,4158,4194.99,313,43.44,56.71,56.74,272.56,274.05,266.64,2183.27,220.48,145.04,538.72,73.68,1144.27,854.81,209.31,219.39,208.28,2101,876,1022,3999,211,237,29,401,5,986,1137,1890,2766,284,605,2302,1743,557,699,2161,559,257,60.36,70.2,89.92,79,70,62,3957.2,2977,2954.5,373,32.23,51.4,51.4,201.31,200.37,195.39
"CAR",2023,"CAR","CAR","Team Level","5on5",82,0.56,0.6,0.59,241736,2406.96,187.57,151.14,639.31,83.81,1314.35,966.84,179.48,189.33,181.14,2149,1194,1368,4711,169,251,22,509,11,1285,1118,1980,3174,253,536,1975,1284,501,570,2627,541,175,72.03,66.85,48.69,76,57,36,4779.97,3343,3379.98,269,31.36,39.78,40.16,178.77,180.25,176.21,1733.12,147.58,109.77,446.65,58.88,916.45,689.66,141.16,146.5,140.13,1668,701,829,3198,146,186,18,342,5,780,910,1522,2223,250,526,1801,1631,472,589,1796,420,153,50.19,53.03,44.36,70,52,24,3156.2,2369,2346.5,348,22.84,36.93,36.97,133.45,132.51,130.19
"CAR",2023,"CAR","CAR","Team Level","4on5",82,0.16,0.21,0.24,24791,83.92,7.32,4.17,13.13,2.79,27.38,58.2,7.26,7.32,7.26,91,22,18,131,9,3,1,6,0,23,72,82,104,6,17,203,53,71,36,82,23,8,2.48,2.75,2.08,2,6,1,131,113,113,33,0.94,0.33,0.33,7.93,7.93,7.88,273.96,38.83,24.72,62.47,9.19,151.17,80.62,36.66,38.83,36.66,259,108,137,504,35,41,7,44,0,131,116,224,332,19,43,218,25,28,64,233,81,53,6.09,10.22,22.53,6,7,22,504,367,367,2,6.55,10.84,10.81,34.58,34.58,33.64
"CAR",2023,"CAR","CAR","Team Level","5on4",82,0.92,0.89,0.86,22471,379.12,57.86,32.13,84.82,12.88,216.87,111.43,52.63,57.86,52.63,373,143,195,711,61,47,9,83,0,193,132,312,455,17,34,238,28,21,56,330,108,78,8.99,13.5,35.37,6,18,37,711,516,516,5,8.54,13.31,12.96,53.44,53.44,51.09,60.63,5.29,3.15,9.52,1.9,19.56,41.57,5.26,5.29,5.26,67,14,8,89,7,2,1,2,0,20,50,60,74,12,30,185,53,34,25,58,17,6,1.56,2.22,1.51,1,5,1,89,81,81,20,0.71,0.3,0.3,5.71,5.71,5.68
"NJD",2023,"NJD","NJD","Team Level","other",82,0.44,0.52,0.5,11851,160.22,38.49,11.83,28.72,5.53,85.25,48.18,34.82,38.49,34.82,162,56,84,302,38,25,4,24,1,69,61,124,180,6,12,128,22,23,27,98,59,61,4.21,7.31,26.97,9,7,22,302,218,218,12,3.42,8.32,8.32,33.58,33.58,31.33,157.17,48.5,10.56,25.94,5.16,79.14,48.69,45.29,48.5,45.29,151,67,66,284,44,16,3,23,0,72,63,107,174,10,23,122,27,25,21,94,44,80,3.83,5.56,39.11,5,4,35,284,218,218,7,3.04,5.36,5.36,46.19,46.19,43.29
"NJD",2023,"NJD","NJD","Team Level","all",82,0.5,0.52,0.51,296958,2628.02,274.6,179.92,639.14,90.21,1405.88,1006.38,259.09,275.46,259.95,2516,1082,1534,5132,264,321,38,493,12,1186,1322,2252,3334,283,627,2461,1667,563,644,2598,648,352,74.39,82.3,117.92,92,82,90,5137.69,3598,3603.33,310,40.18,73.52,73.58,241.13,242,234.94,2567.06,269.61,174.63,606.8,86.74,1374.01,1011.21,256.31,271.18,257.78,2458,1065,1229,4752,281,290,36,451,14,1189,1298,2177,3242,282,639,2136,1868,582,585,2522,673,328,70.22,83.64,115.75,89,85,107,4774.95,3523,3541.51,268,38.71,59.39,59.39,248.93,250.17,242.09
"NJD",2023,"NJD","NJD","Team Level","5on5",82,0.52,0.52,0.51,239134,2074.36,186.49,135.36,529.35,71.69,1103.6,814.64,177.9,187.35,178.75,1953,890,1195,4038,177,252,27,395,9,927,1083,1776,2666,254,563,1906,1556,483,540,2135,485,223,59.65,62.17,64.68,72,67,38,4043.69,2843,2848.33,279,28.23,54.15,54.45,160.21,161.08,158.31,2007.13,173.39,129.34,500.24,68.08,1070.85,813.11,166.26,174.95,167.73,1924,831,983,3738,185,233,27,387,11,907,1032,1739,2570,242,550,1653,1721,482,490,2047,518,190,56.14,64.86,52.4,72,67,46,3760.95,2755,2773.51,234,26.87,46.48,46.76,153.5,154.73,151.95
"NJD",2023,"NJD","NJD","Team Level","4on5",82,0.1,0.12,0.14,23054,57.55,4.33,2.68,8.44,1.82,19.08,41.65,4.27,4.33,4.27,62,16,12,90,3,2,0,7,0,16,50,59,75,8,16,206,67,43,18,65,7,6,1.74,0.82,1.77,1,1,1,90,78,78,15,0.61,0.61,0.61,4.32,4.32,4.31,334.74,39.9,31.09,71.05,11.4,203.32,104.23,37.07,39.9,37.07,317,144,174,635,44,39,5,35,2,193,148,273,417,21,42,174,29,15,49,324,90,47,8.14,10.48,21.28,10,9,25,635,461,461,5,7.97,7.2,6.93,40.94,40.94,38.65
